paper,source,section,page,kind,raw,link,context
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1007/s00412-016-0614-5(2017).3.Chan,",https://doi.org/10.1007/s00412-016-0614-5(2017).3.Chan,"22, 10.1038/s41374-020-00514-0(2021).2.Skinner, B. M. & Johnson, E. E. Nuclear morphologies: their diversity and functional relevance. Chromosoma 126, 195–212, 10.1007/s00412-016-0614-5(2017).3.Chan, J. K. C. The wonderful colors of the hematoxylin-eosin stain in diagnostic surgical pathology. Int. J. Surg. Pathol. 22, 12–32, 10.1177/1066896913517939(2014)."
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1177/1066896913517939(2014).4.Kumar,",https://doi.org/10.1177/1066896913517939(2014).4.Kumar,"s00412-016-0614-5(2017).3.Chan, J. K. C. The wonderful colors of the hematoxylin-eosin stain in diagnostic surgical pathology. Int. J. Surg. Pathol. 22, 12–32, 10.1177/1066896913517939(2014).4.Kumar, N. et al. A dataset and a technique for generalized nuclear segmentation for computational pathology. IEEE Transactions on Med. Imaging 36, 1550–1560, 10.1109/"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1109/TMI.2017.2677499(2017).5.Mahbod,",https://doi.org/10.1109/TMI.2017.2677499(2017).5.Mahbod,"4.Kumar, N. et al. A dataset and a technique for generalized nuclear segmentation for computational pathology. IEEE Transactions on Med. Imaging 36, 1550–1560, 10.1109/TMI.2017.2677499(2017).5.Mahbod, A. et al. CryoNuSeg: A dataset for nuclei instance segmentation of cryosectioned H&E-stained histological images. Comput. Biol. Medicine 132, 104349, 10.1016/j"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1016/j.compbiomed.2021.104349(2021).6.Graham,",https://doi.org/10.1016/j.compbiomed.2021.104349(2021).6.Graham,"5.Mahbod, A. et al. CryoNuSeg: A dataset for nuclei instance segmentation of cryosectioned H&E-stained histological images. Comput. Biol. Medicine 132, 104349, 10.1016/j.compbiomed.2021.104349(2021).6.Graham, S. et al. Hover-Net: Simultaneous segmentation and classification of nuclei in multi-tissue histology images. Med. Image Analysis 58, 101563, 10.1016/j.media.2"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1016/j.media.2019.101563(2019).7.Kumar,",https://doi.org/10.1016/j.media.2019.101563(2019).7.Kumar,"9(2021).6.Graham, S. et al. Hover-Net: Simultaneous segmentation and classification of nuclei in multi-tissue histology images. Med. Image Analysis 58, 101563, 10.1016/j.media.2019.101563(2019).7.Kumar, N. et al. A multi-organ nucleus segmentation challenge. IEEE Transactions on Med. Imaging 39, 1380–1391, 10.1109/TMI.2019.2947628(2020).8.He, K., Gkioxari, G.,"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1109/TMI.2019.2947628(2020).8.He,",https://doi.org/10.1109/TMI.2019.2947628(2020).8.He,"58, 101563, 10.1016/j.media.2019.101563(2019).7.Kumar, N. et al. A multi-organ nucleus segmentation challenge. IEEE Transactions on Med. Imaging 39, 1380–1391, 10.1109/TMI.2019.2947628(2020).8.He, K., Gkioxari, G., Dollár, P. & Girshick, R. Mask R-CNN. In International Conference on Computer Vision, 2980–2988 (IEEE, 2017). 9. Bancher, B., Mahbod, A., Ell"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1109/TMI.2018.2865709(2019).11.Naylor,",https://doi.org/10.1109/TMI.2018.2865709(2019).11.Naylor,", Reyal, F. & Walter, T. Segmentation of nuclei in histopathology images by deep regression of the distance map. IEEE Transactions on Med. Imaging 38, 448–459, 10.1109/TMI.2018.2865709(2019).11.Naylor, P., Laé, M., Reyal, F. & Walter, T. Nuclei segmentation in histopathology images using deep neural networks. In IEEE International Symposium on Biomedical Imag"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1109/ISBI.2017.7950669(2017).12.Zhao,",https://doi.org/10.1109/ISBI.2017.7950669(2017).12.Zhao,"Reyal, F. & Walter, T. Nuclei segmentation in histopathology images using deep neural networks. In IEEE International Symposium on Biomedical Imaging, 933–936, 10.1109/ISBI.2017.7950669(2017).12.Zhao, B. et al. Triple u-net: Hematoxylin-aware nuclei segmentation with progressive dense feature aggregation. Med. Image Analysis 65, 101786, 10.1016/j.media.2020."
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1016/j.media.2020.101786(2020).13.Mahbod,",https://doi.org/10.1016/j.media.2020.101786(2020).13.Mahbod,"950669(2017).12.Zhao, B. et al. Triple u-net: Hematoxylin-aware nuclei segmentation with progressive dense feature aggregation. Med. Image Analysis 65, 101786, 10.1016/j.media.2020.101786(2020).13.Mahbod, A. et al. A dual decoder U-Net-based model for nuclei instance segmentation in hematoxylin and eosin-stained histological images. Front. Medicine 9, 10.3389/fm"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.3389/fmed.2022.978146(2022).14.Mahmood,",https://doi.org/10.3389/fmed.2022.978146(2022).14.Mahmood,"13.Mahbod, A. et al. A dual decoder U-Net-based model for nuclei instance segmentation in hematoxylin and eosin-stained histological images. Front. Medicine 9, 10.3389/fmed.2022.978146(2022).14.Mahmood, F., Chen, R. & Durr, N. J. Unsupervised reverse domain adaptation for synthetic medical images via adversarial training. IEEE Transactions on Med. Imaging 37,"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1109/TMI.2018.2842767(2018).15.Kromp,",https://doi.org/10.1109/TMI.2018.2842767(2018).15.Kromp,"R. & Durr, N. J. Unsupervised reverse domain adaptation for synthetic medical images via adversarial training. IEEE Transactions on Med. Imaging 37, 2572–2581, 10.1109/TMI.2018.2842767(2018).15.Kromp, F. et al. An annotated fluorescence image dataset for training nuclear segmentation methods. Sci. Data 7, 1–8, https://doi.org/10.1038/s41597-020-00608-w(2020)"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.3390/diagnostics11060967(2021).17.Verma,",https://doi.org/10.3390/diagnostics11060967(2021).17.Verma,"nvestigating the impact of the bit depth of fluorescence-stained images on the performance of deep learning-based nuclei instance segmentation. Diagnostics 11, 10.3390/diagnostics11060967(2021).17.Verma, R. et al. MoNuSAC2020: A multi-organ nuclei segmentation and classification challenge. IEEE Transactions on Med. Imaging 1–1, 10.1109/TMI.2021.3085712(2021).18"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1109/TMI.2021.3085712(2021).18.Gamper,",https://doi.org/10.1109/TMI.2021.3085712(2021).18.Gamper,"agnostics11060967(2021).17.Verma, R. et al. MoNuSAC2020: A multi-organ nuclei segmentation and classification challenge. IEEE Transactions on Med. Imaging 1–1, 10.1109/TMI.2021.3085712(2021).18.Gamper, J., Alemi Koohbanani, N., Benet, K., Khuram, A. & Rajpoot, N. PanNuke: An open pan-cancer histology dataset for nuclei instance segmentation and classification"
2308.01760v1.pdf,pymupdf,page_text,6,doi,"10.1007/978-3-030-23937-4_2(SpringerInternationalPublishing,",https://doi.org/10.1007/978-3-030-23937-4_2(SpringerInternationalPublishing,"stance segmentation and classification. In Reyes-Aldasoro, C. C., Janowczyk, A., Veta, M., Bankhead, P. & Sirinukunwattana, K. (eds.) Digital Pathology, 11–19, 10.1007/978-3-030-23937-4_2(SpringerInternationalPublishing, Cham, 2019). 6/7"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1038/s41597-020-0528-1(2020).21.Graham,",https://doi.org/10.1038/s41597-020-0528-1(2020).21.Graham,", 684–693 (2021). 20. Hou, L. et al. Dataset of segmented nuclei in hematoxylin and eosin stained histopathology images of ten cancer types. Sci. data 7, 1–12, 10.1038/s41597-020-0528-1(2020).21.Graham, S. et al. CoNIC challenge: Pushing the frontiers of nuclear detection, segmentation, classification and counting. arXiv preprint arXiv:2303.06274 (2023). 22. L"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1016/j.media.2020.101771(2020).24.Vu,",https://doi.org/10.1016/j.media.2020.101771(2020).24.Vu,"ar, M., Zamani Tajadin, N. & Rajpoot, N. NuClick: A deep learning framework for interactive segmentation of microscopic images. Med. Image Analysis 65, 101771, 10.1016/j.media.2020.101771(2020).24.Vu, Q. D. et al. Methods for segmentation and classification of digital microscopy tissue images. Front. Bioeng. Biotechnol. 7, 53, 10.3389/fbioe.2019.00053(2019)."
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.3389/fbioe.2019.00053(2019).25.Sirin,",https://doi.org/10.3389/fbioe.2019.00053(2019).25.Sirin,".media.2020.101771(2020).24.Vu, Q. D. et al. Methods for segmentation and classification of digital microscopy tissue images. Front. Bioeng. Biotechnol. 7, 53, 10.3389/fbioe.2019.00053(2019).25.Sirin, K. et al. Locality sensitive deep learning for detection and classification of nuclei in routine colon cancer histology images. IEEE Transaction on Med. Imagin"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1109/TMI.2016.2525803(2016).26.Janowczyk,",https://doi.org/10.1109/TMI.2016.2525803(2016).26.Janowczyk,"ty sensitive deep learning for detection and classification of nuclei in routine colon cancer histology images. IEEE Transaction on Med. Imaging 35, 1196–1206, 10.1109/TMI.2016.2525803(2016).26.Janowczyk, A. & Madabhushi, A. Deep learning for digital pathology image analysis: A comprehensive tutorial with selected use cases. J. Pathol. Informatics 7, 29, 10.4103"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.4103/2153-3539.186902(2016).27.Irshad,",https://doi.org/10.4103/2153-3539.186902(2016).27.Irshad,"owczyk, A. & Madabhushi, A. Deep learning for digital pathology image analysis: A comprehensive tutorial with selected use cases. J. Pathol. Informatics 7, 29, 10.4103/2153-3539.186902(2016).27.Irshad, H. et al. Crowdsourcing image annotation for nucleus detection and segmentation in computational pathology: evaluating experts, automated methods, and the crow"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1142/9789814644730_0029(2014).28.Schindelin,",https://doi.org/10.1142/9789814644730_0029(2014).28.Schindelin,"ion and segmentation in computational pathology: evaluating experts, automated methods, and the crowd. In Pacific symposium on biocomputing Co-chairs, 294–305, 10.1142/9789814644730_0029(2014).28.Schindelin, J. et al. Fiji: an open-source platform for biological-image analysis. Nat. Methods 9, 676 (2012). 29. Hollandi, R., Diósdi, A., Hollandi, G., Moshkov, N. & Ho"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1091/mbc.E20-02-0156(2020).30.Verma,",https://doi.org/10.1091/mbc.E20-02-0156(2020).30.Verma,"ósdi, A., Hollandi, G., Moshkov, N. & Horváth, P. AnnotatorJ: an imagej plugin to ease hand annotation of cellular compartments. Mol. Biol. Cell 31, 2179–2186, 10.1091/mbc.E20-02-0156(2020).30.Verma, R. et al. Author’s reply to “MoNuSAC2020: A multi-organ nuclei segmentation and classification challenge”. IEEE Transactions on Med. Imaging 41, 1000–1003, 10."
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1109/TMI.2022.3157048(2022).31.Ronneberger,",https://doi.org/10.1109/TMI.2022.3157048(2022).31.Ronneberger,"ma, R. et al. Author’s reply to “MoNuSAC2020: A multi-organ nuclei segmentation and classification challenge”. IEEE Transactions on Med. Imaging 41, 1000–1003, 10.1109/TMI.2022.3157048(2022).31.Ronneberger, O., Fischer, P. & Brox, T. U-Net: Convolutional networks for biomedical image segmentation. In International Conference on Medical Image Computing and Computer"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1007/978-3-319-24574-4_28(2015).32.Oktay,",https://doi.org/10.1007/978-3-319-24574-4_28(2015).32.Oktay,": Convolutional networks for biomedical image segmentation. In International Conference on Medical Image Computing and Computer-Assisted Intervention, 234–241, 10.1007/978-3-319-24574-4_28(2015).32.Oktay, O. et al. Attention U-Net: Learning where to look for the pancreas. arXiv preprint arXiv:1804.03999 (2018). 33. He, K., Zhang, X., Ren, S. & Sun, J. Deep resid"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1109/CVPR.2016.90(2016).34.Mahbod,",https://doi.org/10.1109/CVPR.2016.90(2016).34.Mahbod,"33. He, K., Zhang, X., Ren, S. & Sun, J. Deep residual learning for image recognition. In IEEE Conference on Computer Vision and Pattern Recognition, 770–778, 10.1109/CVPR.2016.90(2016).34.Mahbod, A. et al. A two-stage U-Net algorithm for segmentation of nuclei in H&E-stained tissues. In European Congress on Digital Pathology, 75–82, 10.1007/978-3-030-23"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1007/978-3-030-23937-4_9(2019).35.Kirillov,",https://doi.org/10.1007/978-3-030-23937-4_9(2019).35.Kirillov,".90(2016).34.Mahbod, A. et al. A two-stage U-Net algorithm for segmentation of nuclei in H&E-stained tissues. In European Congress on Digital Pathology, 75–82, 10.1007/978-3-030-23937-4_9(2019).35.Kirillov, A., He, K., Girshick, R., Rother, C. & Dollar, P. Panoptic segmentation. In Conference on Computer Vision and Pattern Recognition, 9404–9413 (2019). 36. Foucar"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1109/TMI.2022.3156023(2022).37.Mahbod,",https://doi.org/10.1109/TMI.2022.3156023(2022).37.Mahbod,"O. & Decaestecker, C. Comments on “MoNuSAC2020: A multi-organ nuclei segmentation and classification challenge”. IEEE Transactions on Med. Imaging 41, 997–999, 10.1109/TMI.2022.3156023(2022).37.Mahbod, A., Schaefer, G., Ecker, R. & Ellinger, I. Pollen grain microscopic image classification using an ensemble of fine-tuned deep convolutional neural networks. In"
2308.01760v1.pdf,pymupdf,page_text,7,doi,"10.1007/978-3-030-68763-2_26(Springer,",https://doi.org/10.1007/978-3-030-68763-2_26(Springer,"croscopic image classification using an ensemble of fine-tuned deep convolutional neural networks. In International Conference on Pattern Recognition, 344–356, 10.1007/978-3-030-68763-2_26(Springer, 2021). 38. Li, F., Hu, Z., Chen, W. & Kak, A. A laplacian pyramid based generative H&E stain augmentation network. arXiv preprint arXiv:2305.14301 (2023). 39."
2308.01760v1.pdf,grobid_tei,target,,url,https://github.com/kermitt2/grobid,https://github.com/kermitt2/grobid,
2308.01760v1.pdf,grobid_tei,target,,url,https://doi.org/10.1038/s41597-020-00608-w,https://doi.org/10.1038/s41597-020-00608-w,
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1038/s41374-020-00514-0,https://doi.org/10.1038/s41374-020-00514-0,10.1038/s41374-020-00514-0
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1007/s00412-016-0614-5,https://doi.org/10.1007/s00412-016-0614-5,10.1007/s00412-016-0614-5
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1177/1066896913517939,https://doi.org/10.1177/1066896913517939,10.1177/1066896913517939
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2017.2677499,https://doi.org/10.1109/TMI.2017.2677499,10.1109/TMI.2017.2677499
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1016/j.compbiomed.2021.104349,https://doi.org/10.1016/j.compbiomed.2021.104349,10.1016/j.compbiomed.2021.104349
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1016/j.media.2019.101563,https://doi.org/10.1016/j.media.2019.101563,10.1016/j.media.2019.101563
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2019.2947628,https://doi.org/10.1109/TMI.2019.2947628,10.1109/TMI.2019.2947628
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2018.2865709,https://doi.org/10.1109/TMI.2018.2865709,10.1109/TMI.2018.2865709
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/ISBI.2017.7950669,https://doi.org/10.1109/ISBI.2017.7950669,10.1109/ISBI.2017.7950669
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1016/j.media.2020.101786,https://doi.org/10.1016/j.media.2020.101786,10.1016/j.media.2020.101786
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.3389/fmed.2022.978146,https://doi.org/10.3389/fmed.2022.978146,10.3389/fmed.2022.978146
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2018.2842767,https://doi.org/10.1109/TMI.2018.2842767,10.1109/TMI.2018.2842767
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.3390/diagnostics11060967,https://doi.org/10.3390/diagnostics11060967,10.3390/diagnostics11060967
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2021.3085712,https://doi.org/10.1109/TMI.2021.3085712,10.1109/TMI.2021.3085712
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1007/978-3-030-23937-4_2,https://doi.org/10.1007/978-3-030-23937-4_2,10.1007/978-3-030-23937-4_2
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1038/s41597-020-0528-1,https://doi.org/10.1038/s41597-020-0528-1,10.1038/s41597-020-0528-1
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1016/j.media.2020.101771,https://doi.org/10.1016/j.media.2020.101771,10.1016/j.media.2020.101771
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.3389/fbioe.2019.00053,https://doi.org/10.3389/fbioe.2019.00053,10.3389/fbioe.2019.00053
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2016.2525803,https://doi.org/10.1109/TMI.2016.2525803,10.1109/TMI.2016.2525803
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.4103/2153-3539.186902,https://doi.org/10.4103/2153-3539.186902,10.4103/2153-3539.186902
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1142/9789814644730_0029,https://doi.org/10.1142/9789814644730_0029,10.1142/9789814644730_0029
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1091/mbc.E20-02-0156,https://doi.org/10.1091/mbc.E20-02-0156,10.1091/mbc.E20-02-0156
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2022.3157048,https://doi.org/10.1109/TMI.2022.3157048,10.1109/TMI.2022.3157048
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1007/978-3-319-24574-4_28,https://doi.org/10.1007/978-3-319-24574-4_28,10.1007/978-3-319-24574-4_28
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/CVPR.2016.90,https://doi.org/10.1109/CVPR.2016.90,10.1109/CVPR.2016.90
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1007/978-3-030-23937-4_9,https://doi.org/10.1007/978-3-030-23937-4_9,10.1007/978-3-030-23937-4_9
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1109/TMI.2022.3156023,https://doi.org/10.1109/TMI.2022.3156023,10.1109/TMI.2022.3156023
2308.01760v1.pdf,grobid_tei,idno_doi,,doi,10.1007/978-3-030-68763-2_26,https://doi.org/10.1007/978-3-030-68763-2_26,10.1007/978-3-030-68763-2_26
2308.01760v1.pdf,grobid_tei,full_tei_text,,url,https://doi.org/10.1038/s41597-020-00608-w(2020).Investigatingtheimpactof,https://doi.org/10.1038/s41597-020-00608-w(2020).Investigatingtheimpactof,"mp 10.1038/s41597-020-00608-wSci.Data72020Kromp, F. et al. An annotated fluorescence image dataset for training nuclear segmentation methods. Sci. Data 7, 1-8, https://doi.org/10.1038/s41597-020-00608-w(2020).Investigatingtheimpactof the bit depth of fluorescence-stained images on the performance of deep learning-based nuclei instance segmentation AMahbod 10.3390/diagnostics11060967Diagnost"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,"10.1038/s41374-020-00514-0Lab.Investig1012021Cui,",https://doi.org/10.1038/s41374-020-00514-0Lab.Investig1012021Cui,"uthors reviewed the manuscript. Competing interestsThe authors declare no competing interests. Artificial intelligence and computational pathology MCui DYZhang 10.1038/s41374-020-00514-0Lab.Investig1012021Cui, M. & Zhang, D. Y. Artificial intelligence and computational pathology. Lab. Investig. 101, 412-422, 10.1038/s41374-020-00514-0(2021).Nuclearmorphologies:their"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,10.1038/s41374-020-00514-0(2021).Nuclearmorphologies:their,https://doi.org/10.1038/s41374-020-00514-0(2021).Nuclearmorphologies:their,"i DYZhang 10.1038/s41374-020-00514-0Lab.Investig1012021Cui, M. & Zhang, D. Y. Artificial intelligence and computational pathology. Lab. Investig. 101, 412-422, 10.1038/s41374-020-00514-0(2021).Nuclearmorphologies:their diversity and functional relevance BMSkinner EEJohnson 10.1007/s00412-016-0614-5Chromosoma1262017Skinner, B. M. & Johnson, E. E. Nuclear morphologies: their di"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,"10.1007/s00412-016-0614-5Chromosoma1262017Skinner,",https://doi.org/10.1007/s00412-016-0614-5Chromosoma1262017Skinner,"ional pathology. Lab. Investig. 101, 412-422, 10.1038/s41374-020-00514-0(2021).Nuclearmorphologies:their diversity and functional relevance BMSkinner EEJohnson 10.1007/s00412-016-0614-5Chromosoma1262017Skinner, B. M. & Johnson, E. E. Nuclear morphologies: their diversity and functional relevance. Chromosoma 126, 195-212, 10.1007/s00412-016-0614-5(2017).Thewonderfulcol"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,10.1007/s00412-016-0614-5(2017).Thewonderfulcolorsof,https://doi.org/10.1007/s00412-016-0614-5(2017).Thewonderfulcolorsof,"1007/s00412-016-0614-5Chromosoma1262017Skinner, B. M. & Johnson, E. E. Nuclear morphologies: their diversity and functional relevance. Chromosoma 126, 195-212, 10.1007/s00412-016-0614-5(2017).Thewonderfulcolorsof the hematoxylin-eosin stain in diagnostic surgical pathology JK CChan 10.1177/1066896913517939Int.J.Surg.Pathol22 2014 Chan, J. K. C. The wonderful colors of t"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,10.1177/1066896913517939Int.J.Surg.Pathol22,https://doi.org/10.1177/1066896913517939Int.J.Surg.Pathol22,"relevance. Chromosoma 126, 195-212, 10.1007/s00412-016-0614-5(2017).Thewonderfulcolorsof the hematoxylin-eosin stain in diagnostic surgical pathology JK CChan 10.1177/1066896913517939Int.J.Surg.Pathol22 2014 Chan, J. K. C. The wonderful colors of the hematoxylin-eosin stain in diagnostic surgical pathology. Int. J. Surg. Pathol. 22, 12-32, 10.1177/106689691351"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,10.1177/1066896913517939(2014).Adatasetanda,https://doi.org/10.1177/1066896913517939(2014).Adatasetanda,"9Int.J.Surg.Pathol22 2014 Chan, J. K. C. The wonderful colors of the hematoxylin-eosin stain in diagnostic surgical pathology. Int. J. Surg. Pathol. 22, 12-32, 10.1177/1066896913517939(2014).Adatasetanda technique for generalized nuclear segmentation for computational pathology NKumar 10.1109/TMI.2017.2677499IEEETransactionsonMed.Imaging 36 2017 Kumar, N. et al"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,10.1109/TMI.2017.2677499IEEETransactionsonMed.Imaging,https://doi.org/10.1109/TMI.2017.2677499IEEETransactionsonMed.Imaging,"Int. J. Surg. Pathol. 22, 12-32, 10.1177/1066896913517939(2014).Adatasetanda technique for generalized nuclear segmentation for computational pathology NKumar 10.1109/TMI.2017.2677499IEEETransactionsonMed.Imaging 36 2017 Kumar, N. et al. A dataset and a technique for generalized nuclear segmentation for computational pathology. IEEE Transactions on Med. Imaging 36, 1550"
2308.01760v1.pdf,grobid_tei,full_tei_text,,doi,10.1109/TMI.2017.2677499(2017).CryoNuSeg:Adatasetfor,https://doi.org/10.1109/TMI.2017.2677499(2017).CryoNuSeg:Adatasetfor,"7 Kumar, N. et al. A dataset and a technique for generalized nuclear segmentation for computational pathology. IEEE Transactions on Med. Imaging 36, 1550-1560, 10.1109/TMI.2017.2677499(2017).CryoNuSeg:Adatasetfor nuclei instance segmentation of cryosectioned H&E-stained histological images AMahbod 10.1016/j.compbiomed.2021.104349Comput.Biol.Medicine1322021 Mahbod, A. et"
